precision,accuracy,recall,duration,fold,pool_factor,filter_factor
0.9354838709677421,0.8787878787878788,0.6666666666666666,1190.5793516635895,3,,
0.4090909090909091,0.8181818181818182,0.5,1742.4039406776428,3,150.0,0.02
0.4090909090909091,0.8181818181818182,0.5,1454.1795766353607,3,150.0,0.005
0.4090909090909091,0.8181818181818182,0.5,1462.6282315254211,3,150.0,0.01
0.4090909090909091,0.8181818181818182,0.5,2174.826007604599,3,200.0,0.02
0.4090909090909091,0.8181818181818182,0.5,1673.5308511257172,3,200.0,0.005
0.4090909090909091,0.8181818181818182,0.5,1879.9801380634308,3,200.0,0.01
0.4090909090909091,0.8181818181818182,0.5,1514.2106368541718,3,100.0,0.02
0.4090909090909091,0.8181818181818182,0.5,1332.9294383525846,3,100.0,0.005
0.4090909090909091,0.8181818181818182,0.5,1345.236542224884,3,100.0,0.01
0.921875,0.8484848484848485,0.5833333333333334,1553.76198720932,3,50.0,0.02
0.4090909090909091,0.8181818181818182,0.5,1158.0262744426727,3,50.0,0.005
0.9354838709677421,0.8787878787878788,0.6666666666666666,1190.5793516635895,3,50.0,0.01
0.9827586206896552,0.96875,0.875,1591.4568929672241,5,,
0.4375,0.875,0.5,1795.176569700241,5,150.0,0.02
0.4375,0.875,0.5,1527.74569773674,5,150.0,0.005
0.4375,0.875,0.5,1540.8670072555542,5,150.0,0.01
0.4375,0.875,0.5,2208.967535018921,5,200.0,0.02
0.4375,0.875,0.5,1682.610655784607,5,200.0,0.005
0.4375,0.875,0.5,1799.7644608020782,5,200.0,0.01
0.4375,0.875,0.5,1664.5124447345734,5,100.0,0.02
0.4375,0.875,0.5,1402.6035494804382,5,100.0,0.005
0.9827586206896552,0.96875,0.875,1591.4568929672241,5,100.0,0.01
0.4375,0.875,0.5,1547.3201456069946,5,50.0,0.02
0.8571428571428572,0.9375,0.8571428571428572,1222.274881362915,5,50.0,0.005
0.9516129032258064,0.90625,0.625,1269.8090903759005,5,50.0,0.01
0.9032258064516128,0.8181818181818182,0.625,1146.1467740535734,4,,
0.3787878787878788,0.7575757575757576,0.5,1684.071147441864,4,150.0,0.02
0.3787878787878788,0.7575757575757576,0.5,1477.046298980713,4,150.0,0.005
0.3787878787878788,0.7575757575757576,0.5,1512.4471147060394,4,150.0,0.01
0.3787878787878788,0.7575757575757576,0.5,2290.6677060127263,4,200.0,0.02
0.3787878787878788,0.7575757575757576,0.5,1702.5777521133425,4,200.0,0.005
0.3787878787878788,0.7575757575757576,0.5,1852.1081371307373,4,200.0,0.01
0.3787878787878788,0.7575757575757576,0.5,1529.3161249160767,4,100.0,0.02
0.3787878787878788,0.7575757575757576,0.5,1290.1032638549805,4,100.0,0.005
0.3787878787878788,0.7575757575757576,0.5,1371.15766954422,4,100.0,0.01
0.890625,0.7878787878787878,0.5625,1363.2756481170654,4,50.0,0.02
0.9032258064516128,0.8181818181818182,0.625,1146.1467740535734,4,50.0,0.005
0.890625,0.7878787878787878,0.5625,1219.1520330905914,4,50.0,0.01
0.9,0.8181818181818182,0.6666666666666666,1141.4344644546507,2,,
0.3636363636363637,0.7272727272727273,0.5,1705.7545719146729,2,150.0,0.02
0.3636363636363637,0.7272727272727273,0.5,1466.9012138843536,2,150.0,0.005
0.3636363636363637,0.7272727272727273,0.5,1606.1797361373901,2,150.0,0.01
0.3636363636363637,0.7272727272727273,0.5,2205.400750875473,2,200.0,0.02
0.3636363636363637,0.7272727272727273,0.5,1697.70152759552,2,200.0,0.005
0.3636363636363637,0.7272727272727273,0.5,1846.093052148819,2,200.0,0.01
0.3636363636363637,0.7272727272727273,0.5,1515.1151974201202,2,100.0,0.02
0.3636363636363637,0.7272727272727273,0.5,1257.9969849586487,2,100.0,0.005
0.3636363636363637,0.7272727272727273,0.5,1357.5370001792908,2,100.0,0.01
0.3636363636363637,0.7272727272727273,0.5,1345.611767053604,2,50.0,0.02
0.9,0.8181818181818182,0.6666666666666666,1141.4344644546507,2,50.0,0.005
0.3636363636363637,0.7272727272727273,0.5,1262.9800143241882,2,50.0,0.01
0.8709677419354839,0.7575757575757576,0.6,1210.093388795853,1,,
0.3484848484848485,0.696969696969697,0.5,1612.6739463806152,1,150.0,0.02
0.3484848484848485,0.696969696969697,0.5,1343.350391626358,1,150.0,0.005
0.3484848484848485,0.696969696969697,0.5,1435.2997407913208,1,150.0,0.01
0.3484848484848485,0.696969696969697,0.5,2020.3786578178408,1,200.0,0.02
0.3484848484848485,0.696969696969697,0.5,1520.8161935806274,1,200.0,0.005
0.3484848484848485,0.696969696969697,0.5,1718.7945926189425,1,200.0,0.01
0.3484848484848485,0.696969696969697,0.5,1498.7277076244354,1,100.0,0.02
0.3484848484848485,0.696969696969697,0.5,1204.305781841278,1,100.0,0.005
0.3484848484848485,0.696969696969697,0.5,1346.958769083023,1,100.0,0.01
0.3484848484848485,0.696969696969697,0.5,1403.6033091545105,1,50.0,0.02
0.3484848484848485,0.696969696969697,0.5,1158.2749621868136,1,50.0,0.005
0.8709677419354839,0.7575757575757576,0.6,1210.093388795853,1,50.0,0.01
