precision,accuracy,recall,duration,fold,pool_factor,filter_factor
0.7666666666666666,0.8484848484848485,0.6481481481481481,1287.7586166858673,3,,
0.4090909090909091,0.8181818181818182,0.5,1793.180475950241,3,150.0,0.02
0.4090909090909091,0.8181818181818182,0.5,1432.2892577648165,3,150.0,0.005
0.4090909090909091,0.8181818181818182,0.5,1576.5851981639862,3,150.0,0.01
0.4090909090909091,0.8181818181818182,0.5,2353.0079691410065,3,200.0,0.02
0.4090909090909091,0.8181818181818182,0.5,1584.7685089111328,3,200.0,0.005
0.4090909090909091,0.8181818181818182,0.5,1800.9040200710294,3,200.0,0.01
0.4090909090909091,0.8181818181818182,0.5,1608.626368522644,3,100.0,0.02
0.4090909090909091,0.8181818181818182,0.5,1263.5729477405548,3,100.0,0.005
0.4090909090909091,0.8181818181818182,0.5,1403.506377696991,3,100.0,0.01
0.921875,0.8484848484848485,0.5833333333333334,1293.691563129425,3,50.0,0.02
0.7666666666666666,0.8484848484848485,0.6481481481481481,1287.7586166858673,3,50.0,0.005
0.921875,0.8484848484848485,0.5833333333333334,1153.8483176231384,3,50.0,0.01
0.9666666666666668,0.9375,0.75,1088.041784286499,5,,
0.4375,0.875,0.5,1745.6918227672575,5,150.0,0.02
0.4375,0.875,0.5,1447.751578092575,5,150.0,0.005
0.4375,0.875,0.5,1543.878479719162,5,150.0,0.01
0.4375,0.875,0.5,2348.6809015274052,5,200.0,0.02
0.4375,0.875,0.5,1754.9401466846466,5,200.0,0.005
0.4375,0.875,0.5,1874.9980418682096,5,200.0,0.01
0.4375,0.875,0.5,1541.3657250404358,5,100.0,0.02
0.4375,0.875,0.5,1217.9897799491882,5,100.0,0.005
0.9516129032258064,0.90625,0.625,1234.2120978832245,5,100.0,0.01
0.9516129032258064,0.90625,0.625,1248.9504539966586,5,50.0,0.02
0.9666666666666668,0.9375,0.75,1088.041784286499,5,50.0,0.005
0.9516129032258064,0.90625,0.625,1101.7187418937683,5,50.0,0.01
0.9032258064516128,0.8181818181818182,0.625,1130.065622806549,4,,
0.3787878787878788,0.7575757575757576,0.5,1810.880129098892,4,150.0,0.02
0.3787878787878788,0.7575757575757576,0.5,1451.0645186901093,4,150.0,0.005
0.3787878787878788,0.7575757575757576,0.5,1601.8491959571838,4,150.0,0.01
0.3787878787878788,0.7575757575757576,0.5,2355.89918255806,4,200.0,0.02
0.3787878787878788,0.7575757575757576,0.5,1589.3632333278656,4,200.0,0.005
0.3787878787878788,0.7575757575757576,0.5,1810.1734318733213,4,200.0,0.01
0.3787878787878788,0.7575757575757576,0.5,1745.2327682971954,4,100.0,0.02
0.3787878787878788,0.7575757575757576,0.5,1238.7638454437254,4,100.0,0.005
0.3787878787878788,0.7575757575757576,0.5,1395.6786530017853,4,100.0,0.01
0.9032258064516128,0.8181818181818182,0.625,1393.2337810993195,4,50.0,0.02
0.9032258064516128,0.8181818181818182,0.625,1130.065622806549,4,50.0,0.005
0.7887931034482758,0.8181818181818182,0.6675,1185.1515588760374,4,50.0,0.01
0.8870967741935484,0.7878787878787878,0.6111111111111112,1067.2186965942385,2,,
0.3636363636363637,0.7272727272727273,0.5,1772.7929317951202,2,150.0,0.02
0.3636363636363637,0.7272727272727273,0.5,1475.3048965930939,2,150.0,0.005
0.3636363636363637,0.7272727272727273,0.5,1566.7508821487427,2,150.0,0.01
0.3636363636363637,0.7272727272727273,0.5,2346.00589966774,2,200.0,0.02
0.3636363636363637,0.7272727272727273,0.5,1577.0075039863586,2,200.0,0.005
0.3636363636363637,0.7272727272727273,0.5,1781.3000311851501,2,200.0,0.01
0.3636363636363637,0.7272727272727273,0.5,1614.391696214676,2,100.0,0.02
0.3636363636363637,0.7272727272727273,0.5,1261.6903748512268,2,100.0,0.005
0.3636363636363637,0.7272727272727273,0.5,1408.6981160640714,2,100.0,0.01
0.875,0.7575757575757576,0.5555555555555556,1334.93243932724,2,50.0,0.02
0.8870967741935484,0.7878787878787878,0.6111111111111112,1067.2186965942385,2,50.0,0.005
0.3636363636363637,0.7272727272727273,0.5,1187.1709635257719,2,50.0,0.01
0.7543103448275862,0.7575757575757576,0.6282608695652174,1158.5810601711273,1,,
0.3484848484848485,0.696969696969697,0.5,1821.0493190288544,1,150.0,0.02
0.3484848484848485,0.696969696969697,0.5,1428.2800714969635,1,150.0,0.005
0.3484848484848485,0.696969696969697,0.5,1550.2541704177856,1,150.0,0.01
0.3484848484848485,0.696969696969697,0.5,2314.890483140945,1,200.0,0.02
0.3484848484848485,0.696969696969697,0.5,1580.9261100292206,1,200.0,0.005
0.3484848484848485,0.696969696969697,0.5,1826.7942428588867,1,200.0,0.01
0.3484848484848485,0.696969696969697,0.5,1608.4771826267242,1,100.0,0.02
0.3484848484848485,0.696969696969697,0.5,1294.1620810031889,1,100.0,0.005
0.3484848484848485,0.696969696969697,0.5,1377.6541631221771,1,100.0,0.01
0.8709677419354839,0.7575757575757576,0.6,1290.9910230636594,1,50.0,0.02
0.859375,0.7272727272727273,0.55,1073.2280781269071,1,50.0,0.005
0.7543103448275862,0.7575757575757576,0.6282608695652174,1158.5810601711273,1,50.0,0.01
