fold,precision,accuracy,recall,duration
fold_1,0.6,0.6538461538461539,0.5784313725490196,19.659621715545654
fold_2,0.7638888888888888,0.7692307692307693,0.7375,22.618730783462524
fold_3,0.6601307189542484,0.6923076923076923,0.6601307189542484,19.7931170463562
fold_4,0.45,0.6923076923076923,0.375,17.572572946548462
fold_5,0.6447368421052632,0.72,0.6309523809523809,23.167704343795776
