precision,accuracy,recall,duration,fold,pool_factor,filter_factor
0.7666666666666666,0.8484848484848485,0.6481481481481481,1506.592030763626,3,,
0.4090909090909091,0.8181818181818182,0.5,2126.493231534958,3,150.0,0.02
0.4090909090909091,0.8181818181818182,0.5,1752.2405848503113,3,150.0,0.005
0.4090909090909091,0.8181818181818182,0.5,1907.5183737277985,3,150.0,0.01
0.4090909090909091,0.8181818181818182,0.5,2647.1316614151,3,200.0,0.02
0.4090909090909091,0.8181818181818182,0.5,1952.146353006363,3,200.0,0.005
0.4090909090909091,0.8181818181818182,0.5,2147.2332627773285,3,200.0,0.01
0.4090909090909091,0.8181818181818182,0.5,2017.1480603218079,3,100.0,0.02
0.4090909090909091,0.8181818181818182,0.5,1584.8010172843933,3,100.0,0.005
0.4090909090909091,0.8181818181818182,0.5,1760.6816203594208,3,100.0,0.01
0.4090909090909091,0.8181818181818182,0.5,1907.6212735176086,3,50.0,0.02
0.7666666666666666,0.8484848484848485,0.6481481481481481,1506.592030763626,3,50.0,0.005
0.921875,0.8484848484848485,0.5833333333333334,1617.8688068389893,3,50.0,0.01
0.9666666666666668,0.9375,0.75,1574.8449850082395,5,,
0.4375,0.875,0.5,2189.4809126853947,5,150.0,0.02
0.4375,0.875,0.5,1802.65491771698,5,150.0,0.005
0.4375,0.875,0.5,1971.3453631401064,5,150.0,0.01
0.4375,0.875,0.5,2779.939616441727,5,200.0,0.02
0.4375,0.875,0.5,1969.1298332214355,5,200.0,0.005
0.4375,0.875,0.5,2173.832376241684,5,200.0,0.01
0.4375,0.875,0.5,1991.398732662201,5,100.0,0.02
0.4375,0.875,0.5,1595.08278632164,5,100.0,0.005
0.9516129032258064,0.90625,0.625,1661.69287276268,5,100.0,0.01
0.9516129032258064,0.90625,0.625,1760.7529468536375,5,50.0,0.02
0.4375,0.875,0.5,1554.6350030899048,5,50.0,0.005
0.9666666666666668,0.9375,0.75,1574.8449850082395,5,50.0,0.01
0.9166666666666669,0.8484848484848485,0.6875,2131.283641815185,4,,
0.3787878787878788,0.7575757575757576,0.5,2166.093504667282,4,150.0,0.02
0.3787878787878788,0.7575757575757576,0.5,1765.091008901596,4,150.0,0.005
0.3787878787878788,0.7575757575757576,0.5,1994.6142227649689,4,150.0,0.01
0.3787878787878788,0.7575757575757576,0.5,2685.9425513744354,4,200.0,0.02
0.3787878787878788,0.7575757575757576,0.5,2002.3007628917692,4,200.0,0.005
0.3787878787878788,0.7575757575757576,0.5,2194.4799699783325,4,200.0,0.01
0.3787878787878788,0.7575757575757576,0.5,1995.878434896469,4,100.0,0.02
0.3787878787878788,0.7575757575757576,0.5,1610.7418501377106,4,100.0,0.005
0.3787878787878788,0.7575757575757576,0.5,1781.081390619278,4,100.0,0.01
0.9166666666666669,0.8484848484848485,0.6875,2131.283641815185,4,50.0,0.02
0.6370967741935484,0.7575757575757576,0.5425,1461.1534025669098,4,50.0,0.005
0.890625,0.7878787878787878,0.5625,1585.5555591583252,4,50.0,0.01
0.875,0.7575757575757576,0.5555555555555556,1523.183066368103,2,,
0.3636363636363637,0.7272727272727273,0.5,2142.396250963211,2,150.0,0.02
0.3636363636363637,0.7272727272727273,0.5,1719.1851677894592,2,150.0,0.005
0.3636363636363637,0.7272727272727273,0.5,1907.5052964687347,2,150.0,0.01
0.3636363636363637,0.7272727272727273,0.5,2693.0837960243225,2,200.0,0.02
0.3636363636363637,0.7272727272727273,0.5,2064.579906463623,2,200.0,0.005
0.3636363636363637,0.7272727272727273,0.5,2284.5891754627232,2,200.0,0.01
0.3636363636363637,0.7272727272727273,0.5,2028.6383728981016,2,100.0,0.02
0.3636363636363637,0.7272727272727273,0.5,1621.9047973155975,2,100.0,0.005
0.3636363636363637,0.7272727272727273,0.5,1716.1187291145325,2,100.0,0.01
0.875,0.7575757575757576,0.5555555555555556,1696.7239427566528,2,50.0,0.02
0.875,0.7575757575757576,0.5555555555555556,1523.183066368103,2,50.0,0.005
0.875,0.7575757575757576,0.5555555555555556,1571.477617263794,2,50.0,0.01
0.8833333333333333,0.7878787878787878,0.65,1621.555550813675,1,,
0.3484848484848485,0.696969696969697,0.5,2377.284127235413,1,150.0,0.02
0.3484848484848485,0.696969696969697,0.5,1946.943787097931,1,150.0,0.005
0.3484848484848485,0.696969696969697,0.5,2109.945701122284,1,150.0,0.01
0.3484848484848485,0.696969696969697,0.5,3062.729180812836,1,200.0,0.02
0.3484848484848485,0.696969696969697,0.5,2243.261604309082,1,200.0,0.005
0.3484848484848485,0.696969696969697,0.5,2427.498095273972,1,200.0,0.01
0.3484848484848485,0.696969696969697,0.5,2161.899112224579,1,100.0,0.02
0.3484848484848485,0.696969696969697,0.5,1718.5905389785767,1,100.0,0.005
0.3484848484848485,0.696969696969697,0.5,1877.73393034935,1,100.0,0.01
0.859375,0.7272727272727273,0.55,1814.697969198227,1,50.0,0.02
0.859375,0.7272727272727273,0.55,1550.8001601696014,1,50.0,0.005
0.8833333333333333,0.7878787878787878,0.65,1621.555550813675,1,50.0,0.01
